athlete_id,name,rank,region,longitude,latitude,age,height,weight,run400,run5k,fran,candj,snatch,deadlift,backsq,pullups,coach,certification,multiple,howlong
24304,KyleKasperbauer,1,North Central (Nebraska),-99.9018,41.4925,32,68,190,51,1132,124,345,285,508,508,71,1,1,1,2
24091,NealMaddox,1,Northern California (San Jose),-121.8863,37.3382,37,70,205,61,1170,124,345,295,505,500,70,0,1,0,0
34745,ScottPanchik,4,Central East (Ohio),-81.3396,41.6662,27,69,187,55,1230,124,325,265,505,425,65,0,0,0,0
24091,NealMaddox,9,Northern California (San Jose),-120.8958,38.8375,37,70,205,61,1200,124,345,295,505,500,60,0,1,0,0
9875,ZacharyForrest,11,South West (Nevada),-115.1398,36.1699,29,67,175,61,1200,124,315,250,475,410,54,1,1,1,2
9875,ZacharyForrest,42,South West (Nevada),-115.1398,36.1699,29,67,180,61,1300,124,335,265,500,430,57,1,1,1,2
28659,NunoCosta,4,Southern California (San Diego),-117.1611,32.7157,36,69,170,47,1275,125,305,230,495,420,60,0,1,0,0
153604,ColeSager,5,North West (Washington),-120.7401,47.7511,24,70,207,56,1200,125,340,275,455,475,58,0,0,1,2
15757,JamesNewbury,5,Australia,133.7751,-25.2744,24,70,190,53,1224,126,276,220,496,375,65,1,1,1,2
73924,SamuelKwant,2,North West (Washington),-120.7401,47.7511,19,70,200,50,1185,128,345,285,505,445,74,1,0,1,2
326761,ChrisSpealler,3,South West (Utah),-111.0937,39.321,35,65,147,63,1172,128,285,230,425,380,80,1,1,0,0
326761,ChrisSpealler,28,South West (Utah),-111.0937,39.321,35,65,147,63,1372,128,285,230,425,380,65,1,1,0,0
20689,GarretFisher,5,Northern California (San Jose),-120.8958,38.8375,23,73,205,55,1240,129,355,285,525,475,65,0,0,0,0
8096,TommyHackenbruck,6,South West (Utah),-111.0937,39.321,33,73,210,57,1320,129,340,285,535,525,60,0,1,1,2
9112,BenStoneberg,9,North West (Oregon),-120.5542,43.8041,27,67,180,57,1240,130,335,265,500,475,63,0,1,1,2
51670,TysonTakasaki,19,Canada West (British Columbia),-125.9066,49.153,27,73,204,62,1260,130,350,305,525,462,55,0,0,1,2
292794,JoshPetlowany,5,South West (Arizona),-111.0937,34.0489,35,72,210,57,1268,131,325,255,475,415,65,0,0,0,0
16274,MarcusHendren,6,Central East (Washington DC),-77.0369,38.9072,26,70,200,59,1270,131,355,275,550,455,66,0,0,1,2
9846,AustinMalleolo,8,North East (Massachusetts),-71.3824,42.4072,27,65,175,59,1221,131,325,255,570,420,65,1,1,1,2
39514,DanielPetro,13,South East (Georgia),-82.9001,32.1656,26,71,205,65,1298,131,320,285,515,480,65,1,1,1,2
84930,NoahOhlsen,2,South East (Miami),-80.1918,25.7617,27,67,185,59,1215,132,355,285,540,465,72,1,1,1,2
249819,MichaelLaverriere,5,Canada East (Quebec),-69.536,47.836,33,69,177,59,1195,132,345,270,645,480,60,1,0,1,2
283931,GuidoTrinidad,7,South East (Miami),-80.1918,25.7617,34,67,187,62,1273,132,315,245,465,415,63,1,1,1,2
21003,WillMoorad,10,Central East (Tennessee),-86.5804,35.5175,25,69,185,68,1200,132,355,310,525,460,50,1,1,1,2
69438,SteveJohnson,11,Mid Atlantic (North Carolina),-79.0193,35.7596,31,68,169,65,1210,132,305,245,520,450,55,0,0,1,2
11435,RichardFroningJr.,1,Central East (Michigan),-85.6024,44.3148,27,69,195,65,1200,133,370,305,570,475,75,0,1,1,2
194361,CaineHayes,3,Australia,133.7751,-25.2744,39,76,216,75,1205,133,308,253,506,418,75,1,0,1,2
26989,KyleBoyer,6,South West (Utah),-111.0937,39.321,34,72,195,59,1229,133,320,240,500,445,62,0,1,1,2
339914,JasonSmith,10,South Africa,22.9375,-30.5595,30,73,195,65,1270,133,345,275,550,450,65,0,0,1,2
45587,RikardLanner,11,Sweden,18.6435,60.1282,36,73,216,66,1275,133,331,271,584,509,65,1,1,1,2
30622,JonPera,18,Southern California,-116.4194,34.9592,31,70,202,50,1252,133,350,280,500,475,53,1,1,1,2
103301,JordanTroyan,2,Mid Atlantic (Pennsylvania),-77.1945,41.2033,30,70,180,55,1180,134,320,265,500,420,70,0,1,1,2
8030,BillGrundler,2,Southern California (San Luis),-120.6596,35.2828,45,72,195,64,1229,134,285,225,455,400,76,0,1,1,2
30740,DustySulon,4,Northern California (San Ramon),-121.954,37.7644,35,72,185,67,1244,134,305,260,500,420,66,0,1,1,2
295077,SaxonPanchik,5,Central East (Tennessee),-86.5804,35.5175,24,68,180,52,1252,134,360,295,520,470,62,1,0,1,2
18763,CodyAnderson,10,North West (Oregon),-120.5542,43.8041,22,67,160,65,1253,134,300,235,420,390,63,0,1,1,2
103301,JordanTroyan,20,Mid Atlantic (Herndon),-77.3861,38.9696,30,70,180,55,1315,134,305,255,485,410,55,0,1,1,2
333769,ChandlerSmith,6,Mid Atlantic (Maryland),-76.6413,39.0458,21,67,180,53,1240,135,300,240,525,415,66,1,0,1,2
85581,TravisMayer,10,South East (Georgia),-82.9001,32.1656,24,71,198,54,1283,135,360,295,565,500,70,1,1,1,2
17337,ArmandMcCormick,12,North Central (Iowa),-93.0977,41.878,32,70,190,58,1280,135,313,254,518,419,59,0,1,1,2
20373,TimPaulson,14,North East (New York),-74.2179,43.2994,24,73,211,61,1182,135,365,300,530,465,58,1,1,1,2
8117,NickBloch,5,North Central (Wisconsin),-88.7879,43.7844,29,72,219,60,1270,136,365,315,620,545,60,1,1,1,2
62903,StefanHelgiEinarsson,6,Iceland,-19.0208,64.9631,32,70,185,55,1224,136,308,253,484,484,60,0,0,0,0
227390,MattMcleod,7,Australia,133.7751,-25.2744,21,65,165,62,1230,136,265,227,485,375,63,1,1,1,2
109097,CraigKenney,11,North East (Connecticut),-73.0877,41.6032,28,72,202,62,1193,136,335,285,525,425,59,0,1,1,2
6829,RobForte,12,Australia,133.7751,-25.2744,28,69,194,59,1230,136,325,270,522,430,63,0,0,1,2
8117,NickBloch,41,North Central (Louisiana),-91.9623,30.9843,29,72,219,60,1470,136,365,315,620,545,56,1,1,1,2
11901,JasonKhalipa,2,Northern California (San Jose),-121.8863,37.3382,29,69,210,60,1200,137,355,285,550,450,74,0,1,0,0
9659,AdrianConway,3,South West (Layton),-111.9711,41.0602,29,70,202,56,1275,137,345,270,585,475,72,0,1,1,2
47368,DanBailey,4,Southern California (Los Angeles),-118.2437,34.0522,30,67,180,47,1140,137,305,265,540,405,68,0,1,1,2
13006,AaronBielefeldt,5,South Central (San Antonio),-98.4946,29.4252,32,73,200,62,1202,137,345,265,575,460,60,1,1,0,0
179668,AlexVigneault,8,Canada East (Quebec),-71.208,46.8139,22,71,203,62,1285,137,325,285,565,450,65,0,1,1,2
36626,JustinBrown,14,Southern California,-116.4194,34.9592,30,72,205,75,1250,137,245,240,375,315,55,0,0,0,0
47368,DanBailey,19,Southern California,-116.4194,34.9592,30,67,180,47,1232,137,305,265,540,405,55,0,1,1,2
19608,KennethLeverich,19,Southern California,-116.4194,34.9592,26,68,185,60,1280,137,365,302,525,465,52,0,0,0,0
9659,AdrianConway,21,South West (Utah),-111.0937,39.321,29,70,202,56,1475,137,345,270,585,475,50,0,1,1,2
4743,JamesHobart,2,Central East (Charleston),-81.1637,33.8361,28,68,185,64,1199,138,325,260,505,425,70,0,0,1,2
24402,YuriiHanson,3,North West (Montana),-110.3626,46.8797,38,69,187,57,1214,138,301,246,405,405,75,0,1,0,0
11640,PhillipKniep,6,North Central (Nebraska),-96.8351,40.8371,31,72,215,65,1218,138,340,275,550,465,58,1,1,1,2
43761,TravisStoetzel,7,North Central (Nebraska),-99.9018,41.4925,32,67,180,58,1305,138,325,245,500,425,68,0,0,1,2
11003,MikeAbgarian,8,North East (Massachusetts),-71.3824,42.4072,31,64,157,61,1250,138,305,230,425,425,61,0,1,1,2
36566,DavidSantaCruzBorgstrand,9,Sweden,18.6435,60.1282,32,71,194,63,1150,138,320,243,507,441,66,1,1,1,2
113516,LoganCollins,11,South Central (Texas),-99.9018,31.9686,23,68,167,55,1280,138,305,245,500,435,57,0,1,1,2
4743,JamesHobart,21,Central East (Tennessee),-86.5804,35.5175,28,68,185,65,1350,138,325,260,485,405,50,0,0,1,2
153625,PatrickVellner,2,Canada East (Toronto),-79.3832,43.6532,30,71,195,66,1130,139,355,285,595,455,74,1,0,0,0
17507,MattChan,2,South West (Denver),-104.9903,39.7392,37,69,218,60,1274,139,345,300,572,445,70,1,1,1,2
9321,MikeEberts,6,Canada West (British Columbia),-125.9066,49.153,37,67,182,60,1253,139,285,230,500,425,65,1,0,0,0
420663,JoeCorvo,7,North Central (North Dakota),-101.002,47.5515,37,72,205,67,1277,139,275,225,500,400,60,1,1,0,0
2318,BenAlderman,9,Northern California (Sacramento),-121.4944,38.5816,32,70,210,59,1269,139,355,293,515,440,60,0,1,1,2
51007,ChadMackay,9,Australia,133.7751,-25.2744,33,73,225,60,1200,140,331,287,485,441,65,0,1,1,2
13739,MarcusFilly,12,Northern California (Sacramento),-121.4944,38.5816,30,70,200,59,1280,140,345,270,465,425,62,1,1,1,2
604820,LukeSchafer,22,North Central (Iowa),-93.0977,41.878,21,69,165,54,1330,140,245,165,350,350,50,0,0,1,2
450681,JeffTincher,2,Mid Atlantic (Herndon),-77.3861,38.9696,46,69,185,57,1165,141,245,190,480,355,63,0,1,0,0
5457,JustinKing,10,North Central (Louisiana),-91.9623,30.9843,32,73,225,61,1302,141,365,300,535,515,67,0,1,0,0
96472,KevinManuel,17,Australia,133.7751,-25.2744,28,74,198,65,1270,141,352,286,528,451,55,0,0,1,2
40379,ChrisBeery,7,Northern California (Fresno),-119.7871,36.7378,33,68,180,62,1216,142,265,205,455,420,67,1,0,1,2
57022,ShawnRamirez,1,South East (Miami),-80.1918,25.7617,40,72,200,82,1056,143,305,235,515,425,80,0,1,1,2
