Name,rank,region,age,height,weight,run400,run5k,candj,snatch,deadlift,backsq,pullups,sum,train,experience,schedule,,,,
FrankWray,3,Central East,51,69,175,64,1334,215,170,465,324,40,1214,I workout mostly at a CrossFit Affiliate|I have a coach who determines my programming|I record my workouts|,I began CrossFit by trying it alone (without a coach)|I have had a life changing experience due to CrossFit|,I do multiple workouts in a day 1x a week|I strictly schedule my rest days|,,,,
MichaelLaverriere,5,Canada East,33,69,177,59,1095,345,270,645,480,70,1810,I workout mostly at a CrossFit Affiliate|I have a coach who determines my programming|I incorporate CrossFit.com workouts|I write my own programming|I record my workouts|,I began CrossFit with a coach (e.g. at an affiliate)|I have had a life changing experience due to CrossFit|,I do multiple workouts in a day 1x a week|I strictly schedule my rest days|,,,,
BrigEdwards,2,South East,53,72,198,71,1243,235,175,400,340,38,1188,"I workout mostly at home, work, or a traditional gym|I record my workouts|",I began CrossFit by trying it alone (without a coach)|I have attended one or more specialty courses|I have had a life changing experience due to CrossFit|,I do multiple workouts in a day 1x a week|I strictly schedule my rest days|,,,,
WillPowell,1,South Central,60,72,203,67,1215,245,207,475,415,50,1392,"I workout mostly at home, work, or a traditional gym|I write my own programming|I record my workouts|",I began CrossFit by trying it alone (without a coach)|,I do multiple workouts in a day 1x a week|I typically rest 4 or more days per month|,,,,
ZacharyForrest,11,South West,29,67,175,61,1200,315,250,475,410,74,1524,I workout mostly at a CrossFit Affiliate|I have a coach who determines my programming|I incorporate CrossFit.com workouts|I write my own programming|I record my workouts|,I began CrossFit by trying it alone (without a coach)|I have completed the CrossFit Level 1 certificate course|I have attended one or more specialty courses|I have had a life changing experience due to CrossFit|I train other people|,I do multiple workouts in a day 1x a week|I typically rest 4 or more days per month|,,,,
BryanShockley,15,South East,48,68,165,85,1320,225,175,325,300,40,1065,I workout mostly at a CrossFit Affiliate|I incorporate CrossFit.com workouts|I write my own programming|I record my workouts|,I began CrossFit by trying it alone (without a coach)|I have completed the CrossFit Level 1 certificate course|I have attended one or more specialty courses|I have had a life changing experience due to CrossFit|I train other people|,I do multiple workouts in a day 1x a week|I typically rest 4 or more days per month|,,,,
CoryDague,15,South East,42,69,184,61,1283,270,195,465,420,55,1405,I workout mostly at a CrossFit Affiliate|I incorporate CrossFit.com workouts|I write my own programming|I record my workouts|,I began CrossFit by trying it alone (without a coach)|I have completed the CrossFit Level 1 certificate course|I have attended one or more specialty courses|I have had a life changing experience due to CrossFit|I train other people|,I do multiple workouts in a day 1x a week|I typically rest 4 or more days per month|,,,,
JordanTroyan,2,Mid Atlantic,30,70,180,55,1115,305,255,485,410,50,1505,I workout mostly at a CrossFit Affiliate|I write my own programming|,I began CrossFit by trying it alone (without a coach)|I have completed the CrossFit Level 1 certificate course|I have had a life changing experience due to CrossFit|I train other people|,I do multiple workouts in a day 1x a week|I typically rest 4 or more days per month|,,,,
BobRuano,5,South East,51,65,165,78,1351,275,205,455,375,55,1365,"I workout mostly at home, work, or a traditional gym|I have a coach who determines my programming|I incorporate CrossFit.com workouts|I write my own programming|I record my workouts|",I began CrossFit by trying it alone (without a coach)|I train other people|,I do multiple workouts in a day 1x a week|I typically rest 4 or more days per month|,,,,
JeffErnsberger,10,Mid Atlantic,48,74,199,59,1123,250,165,450,350,40,1255,I workout mostly at a CrossFit Affiliate|I write my own programming|I record my workouts|,I began CrossFit with a coach (e.g. at an affiliate)|I have completed the CrossFit Level 1 certificate course|I train other people|,I do multiple workouts in a day 2x a week|,,,,
