Name,rank,region,longitude,latitude,age,height,weight,run400,run5k,fran,candj,snatch,deadlift,backsq,pullups,coach,certification,multiple,howlong
LucasParker,14,Canada West (British Columbia),-125.9066,49.1530,25,68,185,60,1220,143,345,291,485,490,48,0,0,1,2
TysonTakasaki,19,Canada West (British Columbia),-125.9066,49.1530,27,73,204,62,1260,130,350,305,525,462,55,0,0,1,2
JoeScali,38,Canada West (British Columbia),-125.9066,49.1530,28,72,190,60,1480,184,330,260,505,450,50,1,1,1,2
MarlonAzurdia,54,Canada West (British Columbia),-125.9066,49.1530,29,69,194,61,1400,165,320,270,545,445,45,0,0,1,2
CaineHayes,3,Australia,133.7751,-25.2744,39,76,216,75,1205,133,308,253,506,418,75,1,0,1,2
RikardLanner,11,Sweden,18.6435,60.1282,36,73,216,66,1275,133,331,271,584,509,65,1,1,1,2
LuisPerez,13,Mexico,-102.5528,23.6345,29,70,172,58,1190,145,285,215,495,385,50,1,1,1,2
MikeEberts,6,Canada West (British Columbia),-125.9066,49.1530,37,67,182,60,1253,139,285,230,500,425,65,1,0,0,0
MatthewSwift,1,Australia,133.7751,-25.2744,45,70,187,65,1171,148,320,254,496,419,70,1,1,1,2
AlvaroLopez,83,Panama,-80.7821,8.5380,29,68,180,66,1590,182,290,235,450,365,40,0,0,0,0
KarlDyall,3,Sweden,18.6435,60.1282,48,70,185,62,1187,149,298,220,494,386,83,1,1,0,0
PatrickVellner,2,Canada East (Toronto),-79.3832,43.6532,30,71,195,66,1130,139,355,285,595,455,74,1,0,0,0
ErwinvanBeek,4,Netherlands,5.2913,52.1326,42,70,190,60,1193,151,276,220,551,463,66,0,1,0,0
IainMaclean,10,Canada West (saskatchewan),-106.6702,52.1579,37,70,196,56,1252,151,280,235,485,375,61,1,0,0,0
SebastianRodriguez,100,Ecuador,-78.1834,-1.8312,22,67,176,61,1698,202,150,220,350,200,35,0,0,0,0
ChristopherBourke,9,United Arab Emirates,53.8478,23.4241,41,69,204,60,1200,153,301,246,535,450,68,0,1,1,2
DarrenEllis,12,Australia,133.7751,-25.2744,39,69,174,65,1263,153,254,220,408,342,69,0,1,1,2
AdamDavidson,27,Canada East (Ottawa),-75.6972,45.4215,23,70,185,50,1364,161,335,260,525,465,48,0,1,0,0
PeteShaw,29,Canada East (Ottawa),-75.6972,45.4215,25,73,215,61,1307,152,302,235,485,385,53,1,1,1,2
OrlandoTrejo,43,Peru,-75.0152,-9.19,26,64,159,62,1400,185,335,265,463,441,55,0,0,1,2
AlexVigneault,8,Canada East (Quebec),-71.208,46.8139,22,71,203,62,1285,137,325,285,565,450,65,0,1,1,2
GlennWaters,5,Central East (Kentucky),-84.27,37.8393,47,70,176,69,1263,162,225,165,445,325,55,0,1,1,2
MichaelLaverriere,5,Canada East (Quebec),-69.536,47.8360,33,69,177,59,1195,132,345,270,645,480,60,1,0,1,2
Albert-DominicLarouche,12,Canada East (Quebec),-69.536,47.8360,24,70,195,58,1290,147,335,265,545,435,60,1,1,1,2
SpencerWhiteley,15,United Kingdom,-3.436,55.3781,36,68,171,60,1294,163,290,249,462,407,50,0,1,1,2
SimonPaquette,26,Canada East (Quebec),-69.536,47.8360,26,71,205,60,1415,174,325,255,470,420,52,1,0,1,2
MattheausOtero,107,Trinidad and Tobago,-61.2225,10.6918,24,67,180,58,1550,192,315,265,355,260,40,1,1,0,0
StefanHelgiEinarsson,6,Iceland,-19.0208,64.9631,32,70,185,55,1224,136,308,253,484,484,60,0,0,0,0
ScottTasaka,5,Canada West (British Columbia),-125.9066,49.1530,44,68,167,58,1180,169,235,200,435,335,60,0,1,0,0
TiagoLopes,17,Brazil,-51.9253,-14.235,37,67,168,68,1290,171,265,205,415,355,50,0,1,1,2
SamStewart,37,Ireland,-7.6921,53.1424,23,67,174,60,1400,182,352,286,550,451,45,1,0,1,2
SaschaTank,14,Australia,133.7751,-25.2744,39,68,165,70,1195,172,247,198,485,375,55,0,0,0,0
ElliotSimmonds,19,United Kingdom,-3.436,55.3781,21,72,185,67,1302,153,330,275,500,420,50,0,1,1,2
StevenFawcett,26,United Kingdom,-3.436,55.3781,26,68,176,59,1390,160,343,264,444,440,45,1,1,1,2
PhilHesketh,29,United Kingdom,-3.436,55.3781,24,71,209,68,1432,153,335,295,575,500,40,0,1,1,2
EnricClosa,137,Andorra,1.5218,42.5063,28,67,187,65,1593,225,198,154,331,353,40,0,0,0,0
LukasEsslinger,17,Germany,10.4515,51.1657,22,71,203,65,1120,150,320,275,561,455,65,0,1,1,2
LukasEsslinger,21,Germany,10.4515,51.1657,22,71,203,65,1280,150,320,275,561,455,50,0,1,1,2
EdmundTan,102,Malaysia,101.9758,4.2105,28,67,149,61,1593,278,265,220,386,364,40,1,1,1,2
VadimDarchinov,9,Russia,105.3188,61.5240,48,66,170,75,1400,177,265,216,441,441,62,1,1,1,2
